id,number,title,user,created_at,merged_at,comments,state,closed_at,codebert_sentiment_label,codebert_confidence
785420846,15769,Implement new icon/color theme,Mazino-Urek,2021-11-21T16:02:35Z,2022-06-28T20:23:26Z,558,closed,2022-06-28T20:23:26Z,0,0.991576611995697
147230642,7610,Redesign Web API,glassez,2017-10-18T07:52:11Z,2018-02-16T07:09:36Z,95,closed,2018-02-16T07:09:36Z,0,0.9816083312034607
412652072,12746,CMake scripts overhaul,FranciscoPombal,2020-05-03T19:20:30Z,,136,closed,2020-09-18T02:39:28Z,0,0.9584367871284485
48682165,3989,Implement search filters. Partially closes #972,zeule,2015-10-25T16:48:01Z,2016-04-05T22:17:27Z,116,closed,2016-04-05T22:17:27Z,0,0.9925145506858826
174278131,8584,WebUI search API. Closes #2495,Piccirello,2018-03-12T05:52:33Z,2018-10-24T10:13:16Z,92,closed,2018-10-24T10:13:16Z,0,0.9884911775588989
124086350,6911,Add a Tags system to the GUI to expand torrent organization / filtering options. Closes #13.,tgregerson,2017-06-06T00:13:21Z,2017-06-26T12:57:28Z,28,closed,2017-06-26T12:57:28Z,0,0.9932712912559509
120464200,6779,Add ip subnet whitelist for bypassing webui auth,Piccirello,2017-05-13T21:40:05Z,2017-11-20T18:52:34Z,41,closed,2017-11-20T18:52:34Z,0,0.9901093244552612
117785425,6698,Color and font themes,zeule,2017-04-26T18:55:26Z,,93,closed,2018-07-11T20:46:16Z,0,0.976187527179718
385279999,12144,Convert the Log widget to use custom View/Model,jagannatharjun,2020-03-08T15:33:48Z,,41,closed,2020-04-09T07:35:50Z,0,0.9929186701774597
282127941,10702,Allow Styling through QSS,jagannatharjun,2019-05-24T19:04:18Z,2019-07-10T11:32:20Z,99,closed,2019-07-10T11:32:20Z,0,0.9890642762184143
62339715,4936,Improve tooltips for torrent progress bar,zeule,2016-03-10T04:57:36Z,2016-06-02T14:54:12Z,92,closed,2016-06-02T14:54:12Z,0,0.9789816737174988
812735912,15915,Implement class for handling filesystem paths,glassez,2022-01-02T13:47:47Z,2022-02-08T03:03:49Z,32,closed,2022-02-08T03:03:50Z,0,0.9893875122070312
91489711,5877,locally banned IP list managment (Closes #1837 ),dzmat,2016-10-29T13:52:02Z,2017-03-07T21:14:21Z,34,closed,2017-03-07T21:14:21Z,0,0.9843577146530151
68764500,5214,Implement configurations and portable mode. Closes #465,zeule,2016-05-03T19:53:22Z,2017-04-11T23:20:35Z,108,closed,2017-04-11T23:20:35Z,0,0.9925107955932617
77642993,5532,Command line arguments for specifying options when adding torrents,briankendall,2016-07-15T16:31:33Z,2017-04-30T19:25:22Z,49,closed,2017-04-30T19:25:22Z,0,0.9908032417297363
115583437,6627,Redesign RSS subsystem,glassez,2017-04-12T16:28:53Z,2017-04-23T06:17:40Z,43,closed,2017-04-23T06:17:40Z,0,0.9803985953330994
68203040,5196,Revamp Torrent creator,Chocobo1,2016-04-28T11:12:37Z,2017-05-24T09:40:10Z,80,closed,2017-05-24T09:40:10Z,0,0.9825777411460876
70978143,5287,Implement Smart Filter,elFarto,2016-05-22T14:15:35Z,2018-02-16T10:43:39Z,56,closed,2018-02-16T10:43:39Z,0,0.9855625629425049
529821648,13885,Rework global speed limit dialog and introduce torrent options dialog,thalieht,2020-11-30T21:27:16Z,2020-12-28T03:34:39Z,55,closed,2020-12-28T03:34:39Z,0,0.9922743439674377
903146309,16840,Improve startup,glassez,2022-04-07T19:53:11Z,2022-07-04T09:48:21Z,129,closed,2022-07-04T09:48:21Z,0,0.9631413817405701
57017306,4681,Log improvements,sledgehammer999,2016-01-24T23:18:30Z,,33,closed,2016-03-25T23:53:50Z,0,0.91849684715271
71648351,5310,Fix emule dat parsing,sledgehammer999,2016-05-27T01:25:33Z,,116,closed,2017-04-26T00:13:47Z,0,0.9620339274406433
359376750,11833,Use license key for downloading GeoIP db,sledgehammer999,2020-01-06T03:36:14Z,,24,closed,2020-02-18T15:07:19Z,0,0.9915239810943604
272497993,10527,Implement tag management for WebUI,fusioneer-GitHub,2019-04-22T20:44:29Z,2019-07-24T14:07:31Z,34,closed,2019-07-24T14:07:32Z,0,0.9875763654708862
45310949,3810,Improve desktop notifications,zeule,2015-09-17T16:20:37Z,,30,closed,2020-03-07T18:07:07Z,0,0.9320936799049377
401260235,12458,Convert the Log widget to use custom View/Model,jagannatharjun,2020-04-09T07:36:49Z,2020-04-17T03:27:36Z,23,closed,2020-04-17T03:27:36Z,0,0.9929186701774597
63781134,4994,Add availability column to torrent contents,zeule,2016-03-22T19:45:21Z,2017-05-12T15:47:52Z,29,closed,2017-05-12T15:47:52Z,0,0.9906811118125916
731952766,15453,Redesign Icons,Mazino-Urek,2021-09-11T15:56:46Z,,151,closed,2021-11-19T10:14:51Z,0,0.9770660996437073
99712048,6156,Use system file type specific icons in contents tab ,zeule,2016-12-30T00:20:12Z,2017-07-03T15:06:22Z,79,closed,2017-07-03T15:06:22Z,0,0.9942935109138489
222905533,9704,[WIP] Adapt sources to the libtorrent master branch,zeule,2018-10-15T13:26:30Z,,25,closed,2019-10-03T18:25:54Z,0,0.9916461110115051
52766580,4266,Share torrents until seeding time reaches an specific amount of minutes,naikel,2015-12-05T22:27:11Z,2017-05-18T04:12:24Z,86,closed,2017-05-18T04:12:24Z,0,0.9641522765159607
481878691,13348,Improve startup,glassez,2020-09-08T08:33:46Z,,149,closed,2020-10-15T11:48:28Z,0,0.9631413817405701
193606513,9072,"Use ""Default programs"" to register file associations",glassez,2018-06-08T12:59:13Z,,13,closed,2018-12-29T18:06:54Z,0,0.9944625496864319
209415367,9375,Add additional tracker info to WebUI,Piccirello,2018-08-20T05:35:36Z,2018-12-12T04:06:33Z,34,closed,2018-12-12T04:06:33Z,0,0.9897963404655457
299393522,10948,Map Icons with IDs,jagannatharjun,2019-07-19T16:01:54Z,,22,closed,2020-06-03T13:12:26Z,0,0.9779155850410461
217216736,9562,Improve scaling of speed graphs,dzmat,2018-09-21T09:02:05Z,2018-11-01T06:46:27Z,11,closed,2018-11-01T06:46:27Z,0,0.9818525910377502
335071184,11433,Allow transfer list text color changes through QSS,jagannatharjun,2019-10-31T18:13:42Z,2019-12-19T16:20:50Z,47,closed,2019-12-19T16:20:50Z,0,0.9891493916511536
1920439158,20951,"Add ability to display torrent ""privateness"" in UI",ManiMatter,2024-06-14T10:43:13Z,2024-07-07T16:09:58Z,48,closed,2024-07-07T16:09:58Z,0,0.993164598941803
70382562,5264,Use explicit class for search plugin versions,zeule,2016-05-17T15:54:20Z,2017-04-21T12:06:51Z,20,closed,2017-04-21T12:06:51Z,0,0.9939075112342834
402206767,12480,CMake: Enforce minimum C++ mode support,FranciscoPombal,2020-04-11T15:36:17Z,2020-04-30T04:42:41Z,76,closed,2020-04-30T04:42:41Z,0,0.9895018935203552
391122283,12205,Improve man pages and related help/documentation,FranciscoPombal,2020-03-19T16:56:18Z,,27,closed,2021-08-21T00:45:17Z,0,0.9761608242988586
858526622,16485,Allow to limit max memory working set size,glassez,2022-02-19T10:29:09Z,2022-03-01T13:42:25Z,65,closed,2022-03-01T13:42:25Z,0,0.972285270690918
241832693,10099,Use SQLite to store torrents and fastresumes,sledgehammer999,2019-01-02T19:53:51Z,,47,closed,2021-03-20T04:16:15Z,0,0.9906758069992065
387932285,12169,Redesigning both Theme and Skin icons,Mazino-Urek,2020-03-13T19:05:05Z,,95,closed,2020-05-27T12:38:15Z,0,0.9875507950782776
713627701,15330,Replace GitHub markdown templates with GitHub forms,xavier2k6,2021-08-16T17:44:47Z,2021-09-17T04:51:34Z,29,closed,2021-09-17T04:51:34Z,0,0.9896182417869568
99816905,6186,Optimise status colours and icons. Closes #6174.,magao,2017-01-01T03:04:55Z,,58,closed,2019-11-03T19:50:02Z,0,0.9916634559631348
166404692,8347,"New CONTRIBUTING.md, based on the old one, Atom's and uBlock Origin's",FranciscoPombal,2018-01-31T23:26:18Z,2018-05-01T04:00:13Z,26,closed,2018-05-01T04:00:13Z,0,0.9941512942314148
318058163,11241,"Add ""Remove torrent and its files"" option to share ratio limiting",thalieht,2019-09-16T20:52:17Z,2019-09-29T01:51:42Z,29,closed,2019-09-29T01:51:42Z,0,0.9934846758842468
355097575,11708,Improve Transfer list architecture,glassez,2019-12-19T11:33:45Z,2019-12-27T13:25:26Z,40,closed,2019-12-27T13:25:26Z,0,0.9833168387413025
545712691,14054,Make SpeedPlotView averager time aware,jagannatharjun,2020-12-26T16:38:58Z,2021-02-12T03:58:45Z,17,closed,2021-02-12T03:58:46Z,0,0.9302617907524109
52719122,4253,Switching to stylized icons,bertyhell,2015-12-04T20:45:26Z,2017-01-11T16:01:36Z,114,closed,2017-01-11T16:01:36Z,0,0.9896340370178223
29318649,2550,[search engine] Replace threading with multiprocessing,DoumanAsh,2015-02-14T10:17:57Z,2015-06-11T16:14:11Z,113,closed,2015-06-11T16:14:11Z,0,0.9924855828285217
65646911,5090,Add option to automatically remove .torrent files upon adding,zeule,2016-04-07T15:11:08Z,2016-05-09T12:05:09Z,38,closed,2016-05-09T12:05:09Z,0,0.9937171936035156
125058135,6952,Various macOS UI improvements,vit9696,2017-06-12T04:06:07Z,2017-07-15T17:51:46Z,38,closed,2017-07-15T17:51:46Z,0,0.97255939245224
63476925,4984,Embedded tracker: Return external IPs to a peer with external IP,SeigneurSerpent,2016-03-19T19:50:18Z,,31,closed,2019-08-11T05:06:51Z,0,0.9924151301383972
480258635,13327,CMake: overhaul and improve scripts,FranciscoPombal,2020-09-04T23:15:28Z,2020-09-18T02:36:37Z,18,closed,2020-09-18T02:36:37Z,0,0.9753830432891846
638271674,14959,CMake: improve Windows build,FranciscoPombal,2021-05-10T19:20:55Z,,70,closed,2021-12-20T00:54:32Z,0,0.9761389493942261
191301895,9007, Pause session till all torrents are fully started ,sledgehammer999,2018-05-30T00:16:07Z,,37,closed,2020-06-03T13:15:01Z,0,0.9922789335250854
473317022,13288,Add GitHub Actions CI workflow,FranciscoPombal,2020-08-25T16:20:21Z,2020-09-25T11:57:28Z,28,closed,2020-09-25T11:57:28Z,0,0.9914632439613342
1498419004,19542,Implement SSL peer support,rcarpa,2023-09-01T07:46:23Z,,7,closed,2024-02-25T11:59:29Z,0,0.9910159111022949
228852568,9824,Convert all foreach() to range-based for(),thalieht,2018-11-06T22:13:04Z,2018-12-06T08:19:18Z,28,closed,2018-12-06T08:19:18Z,0,0.9933398365974426
809800626,15888,Support folder based Themes,jagannatharjun,2021-12-24T18:30:41Z,2022-01-03T06:11:12Z,8,closed,2022-01-03T06:11:12Z,0,0.990916907787323
33621122,2892,Core classes redesign (Issue #2433).,glassez,2015-04-19T16:08:17Z,2015-06-11T20:54:05Z,102,closed,2015-06-11T20:54:05Z,0,0.9909163117408752
217732233,9600,Rewrite averaging code and reduce horizontal graphs resolution,dzmat,2018-09-24T17:33:09Z,2018-10-13T13:52:59Z,4,closed,2018-10-13T13:52:59Z,0,0.9909769296646118
37775046,3235,libtorrent session options,Chocobo1,2015-06-16T09:25:23Z,2017-08-24T03:35:15Z,16,closed,2017-08-24T03:35:15Z,0,0.9874008297920227
208874901,9349,Read command line parameters from <exeName>.params file,zeule,2018-08-16T14:16:46Z,,42,closed,2019-12-18T04:04:03Z,0,0.9930742979049683
349711455,11592,Rework the listening IP/interface selection code,sledgehammer999,2019-12-06T00:41:53Z,2019-12-12T18:24:46Z,17,closed,2019-12-12T18:24:46Z,0,0.9908588528633118
789923360,15793,"Redesign ""Incomplete folder"" feature",glassez,2021-11-27T12:11:07Z,2022-01-02T19:25:00Z,48,closed,2022-01-02T19:25:00Z,0,0.9928284287452698
216528997,9541, Set priority for multiple files in one WebAPI request,Piccirello,2018-09-19T06:38:44Z,2018-12-11T05:32:54Z,4,closed,2018-12-11T05:32:54Z,0,0.984599232673645
1260513301,18645,Compress log backup files by gzip,brvphoenix,2023-03-02T14:05:31Z,,12,closed,2024-02-19T00:15:12Z,0,0.988594651222229
406837540,12574,Revise GitHub templates,FranciscoPombal,2020-04-21T18:38:48Z,2021-06-08T17:48:18Z,56,closed,2021-06-08T17:48:18Z,0,0.9799026846885681
1637779955,20118,Display external address,OdinVex,2023-12-10T19:09:16Z,,55,closed,2024-07-08T18:42:58Z,0,0.9853991270065308
143936857,7522,Reformat Windows build configuration files,glassez,2017-09-29T17:13:04Z,2017-10-04T06:18:28Z,15,closed,2017-10-04T06:18:28Z,0,0.9929186701774597
21985998,1984,Forces Windows (Vista and above) shutdown to wait qBittorrent to terminate cleanly,paolo-sz,2014-09-30T07:27:40Z,,81,closed,2015-05-02T21:38:04Z,0,0.9849544763565063
501202618,13498,Improve startup v2,glassez,2020-10-11T20:35:55Z,,88,closed,2021-08-20T00:46:00Z,0,0.9873471260070801
68157329,5195,Add ability to import uTorrent RSS feeds and download rules,mgziminsky,2016-04-28T03:05:56Z,,29,closed,2020-03-15T00:03:03Z,0,0.9930561184883118
326779587,11354,Reallow to pause checking torrents,thalieht,2019-10-10T14:51:41Z,2019-11-09T01:28:18Z,73,closed,2019-11-09T01:28:19Z,0,0.9622169137001038
469120881,13266,Make tracker/endpoints presentation consistent,kasper93,2020-08-17T23:42:20Z,,13,closed,2023-08-18T08:40:15Z,0,0.9916030764579773
169675892,8427,Rewrite RequestParser,Chocobo1,2018-02-16T17:00:39Z,2018-03-02T08:07:13Z,7,closed,2018-03-02T08:07:13Z,0,0.9825642704963684
245375529,10175,Load WebUI certificate & key from file path,Chocobo1,2019-01-17T04:55:33Z,2019-02-01T05:37:14Z,20,closed,2019-02-01T05:37:14Z,0,0.9908661246299744
261808950,10384,Convert the Log widget to use custom View/Model,sledgehammer999,2019-03-17T00:13:12Z,,12,closed,2020-04-17T03:44:44Z,0,0.9929186701774597
1282855994,18735,Deny remote user login with default credentials,sledgehammer999,2023-03-20T15:32:59Z,,75,closed,2023-10-26T05:27:48Z,0,0.967121958732605
31689738,2757,Upload/download speed graph widget.,onto,2015-03-22T15:51:31Z,2015-07-18T16:30:29Z,58,closed,2015-07-18T16:30:29Z,0,0.9865894317626953
37085258,3150,"Add multiple peers in Peers addition dialog. Closes #1563, #2245, #3133, #1419, #3287, #1419",ngosang,2015-06-06T05:20:31Z,2015-07-19T15:33:10Z,37,closed,2015-07-19T15:33:10Z,0,0.9944853186607361
399328742,12434,Fix embedded tracker,FranciscoPombal,2020-04-06T00:56:14Z,,20,closed,2021-08-20T00:46:17Z,0,0.9267386794090271
1866416868,20833,"WebAPI: Add ""private"" filter for 'info' endpoint",ManiMatter,2024-05-13T11:53:06Z,2024-06-16T07:57:13Z,30,closed,2024-06-16T07:57:13Z,0,0.9877227544784546
27150040,2389,Web API: Implement sync/maindata request,buinsky,2015-01-10T15:08:09Z,2015-01-22T22:36:12Z,57,closed,2015-01-22T22:36:12Z,0,0.9923413991928101
192067510,9026,Use independent translation for WebUI,glassez,2018-06-01T15:25:18Z,2018-10-12T10:39:19Z,19,closed,2018-10-12T10:39:19Z,0,0.9892921447753906
2055715614,21300,"Add ""Simple pread/pwrite"" disk IO type",HanabishiRecca,2024-09-05T13:49:06Z,2024-10-01T16:58:35Z,26,closed,2024-10-01T16:58:35Z,0,0.9935025572776794
350370789,11614,"Enable portable mode if ""profile"" folder exists",Tester798,2019-12-08T03:02:59Z,2019-12-17T05:37:36Z,46,closed,2019-12-17T05:37:36Z,0,0.9916368126869202
405906275,12557,Implemented RSS reader and auto downloader in reference WebUI,seproDev,2020-04-20T08:25:51Z,2020-06-09T06:34:56Z,41,closed,2020-06-09T06:34:57Z,0,0.9890685677528381
731949724,15452,"Move some options from transfer list's context menu into ""Torrent options"" dialog",thalieht,2021-09-11T15:33:50Z,2021-11-10T04:39:59Z,31,closed,2021-11-10T04:40:00Z,0,0.9938127994537354
999393596,17389,Show startup progress dialog,glassez,2022-07-18T13:23:32Z,2022-08-03T04:14:26Z,51,closed,2022-08-03T04:14:26Z,0,0.9838190674781799
1690573429,20314,Add API for obtaining list of directories,pktiuk,2024-01-22T21:03:33Z,2024-04-29T18:13:32Z,19,closed,2024-04-29T18:13:32Z,0,0.9849838614463806
581804480,14465,Allow to build with Qt6,glassez,2021-03-01T07:22:48Z,2021-10-02T18:29:10Z,68,closed,2021-10-02T18:29:10Z,0,0.9866855144500732
1572763114,19777,Drop WebUI default credentials,glassez,2023-10-25T11:56:40Z,2023-11-10T04:18:42Z,24,closed,2023-11-10T04:18:42Z,0,0.9764383435249329
1576340775,19801,Delay subsequent requests to the same host,jNullj,2023-10-27T10:27:21Z,2024-01-19T17:38:17Z,16,closed,2024-01-19T17:38:17Z,0,0.9508562684059143
26541254,2332,WebUI: Change torrent model,buinsky,2014-12-24T01:40:49Z,2015-01-10T14:37:26Z,79,closed,2015-01-10T14:37:26Z,0,0.9913462996482849
16313911,1703,use post_status_update() and set_alert_dispatch(),sorokin,2014-05-25T12:42:09Z,2014-06-03T18:18:39Z,79,closed,2014-06-03T18:18:39Z,0,0.9926559925079346
352081751,11637,Change some settings defaults for better behaviour out of the box,FranciscoPombal,2019-12-11T19:39:49Z,2019-12-24T04:27:12Z,63,closed,2019-12-24T04:27:12Z,0,0.9798415899276733
